name,datetime,temp,humidity,precip,windspeed,sealevelpressure,conditions
London,2023-01-05 10:00:00,11.8,86.42,0.0,9.1,1020.3,Overcast
London,2023-01-05 09:00:00,10.6,88.66,0.0,9.5,1020.5,Overcast
London,2023-01-05 08:00:00,10.5,86.28,0.0,8.0,1020.5,Partially cloudy
London,2023-01-05 07:00:00,10.6,83.98,0.0,9.5,1020.6,Overcast
London,2023-01-05 06:00:00,9.8,86.19,0.0,9.8,1020.5,Partially cloudy
London,2023-01-05 05:00:00,9.8,84.44,0.0,9.3,1020.4,Partially cloudy
London,2023-01-05 04:00:00,10.6,80.06,0.0,9.3,1020.2,Partially cloudy
London,2023-01-05 03:00:00,10.6,80.06,0.0,10.7,1020.1,Partially cloudy
London,2023-01-05 02:00:00,10.5,78.95,0.0,10.4,1019.7,Overcast
London,2023-01-05 01:00:00,11.1,77.44,0.0,12.0,1019.2,Overcast
London,2023-01-05 00:00:00,11.3,78.0,0.0,13.0,1019.1,Overcast
London,2023-01-04 23:00:00,11.0,79.56,0.0,15.3,1018.3,Partially cloudy
London,2023-01-04 22:00:00,11.1,77.44,0.0,16.4,1017.6,Clear
London,2023-01-04 21:00:00,10.8,80.07,0.0,15.4,1017.4,Clear
London,2023-01-04 20:00:00,11.5,75.41,0.0,15.3,1017.1,Clear
London,2023-01-04 19:00:00,11.8,73.93,0.0,18.9,1016.5,Partially cloudy
London,2023-01-04 18:00:00,12.6,69.21,0.0,18.1,1016.2,Overcast
London,2023-01-04 17:00:00,12.8,68.31,0.0,21.4,1015.6,Partially cloudy
London,2023-01-04 16:00:00,13.1,69.32,0.0,18.6,1014.7,Overcast
London,2023-01-04 15:00:00,12.6,76.63,0.0,18.9,1014.3,Partially cloudy
London,2023-01-04 14:00:00,13.3,74.25,0.0,23.9,1014.2,Overcast
London,2023-01-04 13:00:00,14.0,69.97,0.0,22.1,1014.1,Overcast
London,2023-01-04 12:00:00,13.8,76.82,0.0,19.3,1014.1,Overcast
London,2023-01-04 11:00:00,13.3,83.71,0.0,16.4,1014.3,Overcast
London,2023-01-04 10:00:00,13.5,81.02,0.0,16.9,1014.3,Overcast
London,2023-01-04 09:00:00,13.1,85.94,0.0,14.5,1013.7,Overcast
London,2023-01-04 08:00:00,13.0,92.42,0.2,16.8,1013.2,"Rain, Overcast"
London,2023-01-04 07:00:00,13.0,90.63,0.2,15.7,1012.6,"Rain, Overcast"
London,2023-01-04 06:00:00,13.1,88.86,0.0,16.4,1012.5,Overcast
London,2023-01-04 05:00:00,12.6,90.61,0.0,17.2,1012.4,Overcast
London,2023-01-04 04:00:00,13.1,84.86,0.0,18.3,1012.5,Overcast
London,2023-01-04 03:00:00,13.1,82.05,0.0,19.1,1013.2,Overcast
London,2023-01-04 02:00:00,12.8,83.67,0.0,19.9,1013.5,Overcast
London,2023-01-04 01:00:00,13.1,82.05,0.0,19.5,1013.5,Overcast
London,2023-01-04 00:00:00,12.8,85.93,0.0,20.0,1013.9,Overcast
